sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,coverage_constraint_satisfied
1723.0,0.7069065583284968,0.8014311270125224,0.7632776934749621,0.7823544102437423,0.7086477074869414,0.7807881773399015,0.2735333891797157,0.21921182266009853,1.2478040000782535,0.45894909688013136,0.5410509031198686,0.65,0.405,1218.0,559.0,659.0,True
1723.0,0.7278003482298316,0.7813953488372093,0.7799671592775042,0.7806812540573567,0.7086477074869414,0.7807017543859649,0.27344696622577913,0.2192982456140351,1.2469181659895527,0.5143540669856459,0.48564593301435405,0.615,0.38,1254.0,645.0,609.0,True
1723.0,0.7219965177016832,0.8,0.7632776934749621,0.7816388467374811,0.7086477074869414,0.7805466237942122,0.2732918356340265,0.21945337620578775,1.245329829775564,0.4702572347266881,0.5297427652733119,0.64,0.405,1244.0,585.0,659.0,True
1723.0,0.7219965177016832,0.793046357615894,0.76875,0.780898178807947,0.7086477074869414,0.7805466237942122,0.2732918356340265,0.21945337620578775,1.245329829775564,0.4855305466237942,0.5144694533762058,0.63,0.395,1244.0,604.0,640.0,True
1723.0,0.7138711549622752,0.7813953488372093,0.7794871794871795,0.7804412641621944,0.7086477074869414,0.7804878048780488,0.27323301671786304,0.2195121951219512,1.2447281872702651,0.524390243902439,0.47560975609756095,0.615,0.365,1230.0,645.0,585.0,True
1723.0,0.726639582124202,0.7876386687797148,0.7729468599033816,0.7802927643415483,0.7086477074869414,0.7803514376996805,0.27309664953949475,0.21964856230031948,1.2433345644488998,0.5039936102236422,0.4960063897763578,0.62,0.385,1252.0,631.0,621.0,True
1723.0,0.7318630295995356,0.7922705314009661,0.76875,0.7805102657004831,0.7086477074869414,0.7803330689928628,0.27307828083267704,0.2196669310071372,1.2431469751985766,0.49246629659000796,0.507533703409992,0.625,0.395,1261.0,621.0,640.0,True
1723.0,0.7051654091700522,0.7594405594405594,0.81,0.7847202797202797,0.7086477074869414,0.7802469135802469,0.2729921254200611,0.2197530864197531,1.2422675370238736,0.588477366255144,0.411522633744856,0.575,0.315,1215.0,715.0,500.0,True
1723.0,0.7051654091700522,0.7602836879432624,0.807843137254902,0.7840634125990822,0.7086477074869414,0.7802469135802469,0.2729921254200611,0.2197530864197531,1.2422675370238736,0.5802469135802469,0.41975308641975306,0.58,0.32,1215.0,705.0,510.0,True
1723.0,0.7051654091700522,0.7717717717717718,0.7905282331511839,0.7811500024614779,0.7086477074869414,0.7802469135802469,0.2729921254200611,0.2197530864197531,1.2422675370238736,0.5481481481481482,0.45185185185185184,0.6,0.34,1215.0,666.0,549.0,True
1723.0,0.710388856645386,0.7647907647907648,0.800376647834275,0.7825837063125198,0.7086477074869414,0.7802287581699346,0.2729739700097489,0.21977124183006536,1.242082302200493,0.5661764705882353,0.4338235294117647,0.585,0.33,1224.0,693.0,531.0,True
1723.0,0.7074869413813116,0.7673048600883653,0.7962962962962963,0.7818005781923307,0.7086477074869414,0.7801476620180475,0.27289287385786176,0.21985233798195247,1.241255273256468,0.55701394585726,0.44298605414273995,0.595,0.335,1219.0,679.0,540.0,True
1723.0,0.7150319210679048,0.7993019197207679,0.7632776934749621,0.7812898065978651,0.7086477074869414,0.7800324675324676,0.2727776793722818,0.21996753246753242,1.2400815534562777,0.4650974025974026,0.5349025974025974,0.645,0.405,1232.0,573.0,659.0,True
1723.0,0.7254788160185722,0.7788018433179723,0.7813021702838063,0.7800520068008894,0.7086477074869414,0.78,0.27274521183981426,0.21999999999999997,1.2397509629082468,0.5208,0.4792,0.61,0.375,1250.0,651.0,599.0,True
